statement,date,particulars,debit,credit,balance
3,24 APR 23,CREDIT TRANSFER FROM ALEX JAMES SAMPLE,,"2,507.12","-434,492.88"
3,26 APR 23,IB TRANSFER 748109491 FROM 999-821-5000010 1:04AM 25APR,,103.75,"-434,389.13"
3,05 MAY 23,"DEBIT INTEREST AFTER OFFSET SAVING OF $1,574.04",461.66,,"-435,963.17"
3,23 MAY 23,CREDIT TRANSFER FROM ALEX JAMES SAMPLE,,"2,575.46","-433,387.71"
3,05 JUN 23,"DEBIT INTEREST AFTER OFFSET SAVING OF $1,690.59",478.77,,"-435,078.30"
3,23 JUN 23,CREDIT TRANSFER FROM ALEX JAMES SAMPLE,,"2,644.96","-432,433.34"
3,05 JUL 23,"DEBIT INTEREST AFTER OFFSET SAVING OF $1,691.49",480.31,,"-434,124.83"
3,24 JUL 23,CREDIT TRANSFER FROM ALEX JAMES SAMPLE,,"2,644.96","-431,479.87"
3,07 AUG 23,"DEBIT INTEREST AFTER OFFSET SAVING OF $1,872.73",546.63,,"-433,352.60"
3,07 AUG 23,COMPLETE PACKAGE FEE,395.00,,"-433,747.60"
3,17 AUG 23,IB TRANSFER 777146013 FROM 999-821-5000010 11:51AM,,247.60,"-433,500.00"
3,23 AUG 23,CREDIT TRANSFER FROM ALEX JAMES SAMPLE,,"2,715.85","-430,784.15"
3,23 AUG 23,CARRIED FORWARD,,,"-430,784.15"
3,23 AUG 23,BROUGHT FORWARD,,,"-430,784.15"
3,05 SEP 23,"DEBIT INTEREST AFTER OFFSET SAVING OF $1,631.19",491.80,,"-432,415.34"
3,22 SEP 23,CLOSING BALANCE,,,"-432,415.34"
4,23 SEP 23,OPENING BALANCE,,,"-432,415.34"
4,25 SEP 23,CREDIT TRANSFER FROM ALEX JAMES SAMPLE,,"2,715.85","-429,699.49"
4,02 OCT 23,IB TRANSFER 788383986 FROM 999-821-5000010 8:11PM 30SEP,,199.49,"-429,500.00"
4,02 OCT 23,IB TRANSFER 788384020 FROM 999-821-5000010 8:11PM 30SEP,,500.00,"-429,000.00"
4,05 OCT 23,"DEBIT INTEREST AFTER OFFSET SAVING OF $1,679.38",512.09,,"-430,679.38"
4,16 OCT 23,IB TRANSFER 792055816 FROM 999-821-5000010 3:04PM 15OCT,,179.38,"-430,500.00"
4,23 OCT 23,CREDIT TRANSFER FROM ALEX JAMES SAMPLE,,"2,715.85","-427,784.15"
4,23 OCT 23,IB TRANSFER 793667119 FROM 999-821-5000010 6:16PM 21OCT,,150.00,"-427,634.15"
4,23 OCT 23,IB TRANSFER 793669958 FROM 999-821-5000010 6:38PM 21OCT,,350.00,"-427,284.15"
4,25 OCT 23,IB TRANSFER 794533493 FROM 999-821-5000010 3:26PM,,197.15,"-427,087.00"
4,27 OCT 23,IB TRANSFER 795219875 FROM 999-821-5000010 4:39PM,,87.00,"-427,000.00"
4,31 OCT 23,IB TRANSFER 796034669 FROM 999-821-5000010 4:02PM,,181.42,"-426,818.58"
4,06 NOV 23,"DEBIT INTEREST AFTER OFFSET SAVING OF $1,872.98",451.48,,"-428,691.56"
4,23 NOV 23,CREDIT TRANSFER FROM ALEX JAMES SAMPLE,,"2,715.85","-425,975.71"
4,23 NOV 23,CARRIED FORWARD,,,"-425,975.71"
4,23 NOV 23,BROUGHT FORWARD,,,"-425,975.71"
4,24 NOV 23,IB TRANSFER 802157555 FROM 999-821-5000010 6:00AM,,274.14,"-425,701.57"
4,29 NOV 23,IB TRANSFER 803423646 FROM 999-821-5000010 3:08PM,,201.57,"-425,500.00"
4,01 DEC 23,IB TRANSFER 804069676 FROM 999-821-5000010 1:41PM,,500.00,"-425,000.00"
4,05 DEC 23,"DEBIT INTEREST AFTER OFFSET SAVING OF $1,747.02",403.92,,"-426,747.02"
4,19 DEC 23,IB TRANSFER 808396119 FROM 999-821-5000010 0:54AM,,96.11,"-426,650.91"
4,27 DEC 23,CREDIT TRANSFER FROM ALEX JAMES SAMPLE,,"2,715.85","-423,935.06"
4,05 JAN 24,"DEBIT INTEREST AFTER OFFSET SAVING OF $1,876.78",448.31,,"-425,811.84"
4,23 JAN 24,CREDIT TRANSFER FROM ALEX JAMES SAMPLE,,"2,787.50","-423,024.34"
4,29 JAN 24,IB TRANSFER 817943980 FROM 999-821-5000010 3:34PM 28JAN,,24.34,"-423,000.00"
4,29 JAN 24,IB TRANSFER 817944201 FROM 999-821-5000010 3:36PM 28JAN,,200.00,"-422,800.00"
4,31 JAN 24,IB TRANSFER 818773469 FROM 999-821-5000070 7:31PM,,243.44,"-422,556.56"
4,05 FEB 24,"DEBIT INTEREST AFTER OFFSET SAVING OF $1,917.18",395.01,,"-424,473.74"
4,16 FEB 24,IB TRANSFER 822885742 FROM 999-821-5000010 3:21PM,,148.32,"-424,325.42"
4,23 FEB 24,CREDIT TRANSFER FROM ALEX JAMES SAMPLE,,"2,787.50","-421,537.92"
4,04 MAR 24,IB TRANSFER 826586030 FROM 999-821-5000010 3:58PM 2MAR,,37.92,"-421,500.00"
4,05 MAR 24,"DEBIT INTEREST AFTER OFFSET SAVING OF $1,792.11",364.63,,"-423,292.11"
4,11 MAR 24,IB TRANSFER 828286268 FROM 999-821-5000010 6:07PM 9MAR,,292.11,"-423,000.00"
4,22 MAR 24,CLOSING BALANCE,,,"-423,000.00"
5,23 MAR 24,OPENING BALANCE,,,"-423,000.00"
5,25 MAR 24,CREDIT TRANSFER FROM ALEX JAMES SAMPLE,,"2,787.50","-420,212.50"
5,02 APR 24,IB TRANSFER 833335255 FROM 999-821-5000010 4:04AM 30MAR,,212.50,"-420,000.00"
5,05 APR 24,"DEBIT INTEREST AFTER OFFSET SAVING OF $1,852.40",446.13,,"-421,852.40"
5,05 APR 24,IB TRANSFER 834928381 FROM 999-821-5000010 5:33PM,,852.40,"-421,000.00"
5,23 APR 24,CREDIT TRANSFER FROM ALEX JAMES SAMPLE,,"2,787.50","-418,212.50"
5,24 APR 24,IB TRANSFER 839362267 FROM 999-821-5000010 1:32PM,,212.50,"-418,000.00"
5,06 MAY 24,"DEBIT INTEREST AFTER OFFSET SAVING OF $1,872.07",413.95,,"-419,872.07"
5,07 MAY 24,IB TRANSFER 842468486 FROM 999-821-5000010 1:46PM,,372.07,"-419,500.00"
5,23 MAY 24,CREDIT TRANSFER FROM ALEX JAMES SAMPLE,,"2,787.50","-416,712.50"
5,24 MAY 24,IB TRANSFER 846869906 FROM 999-821-5000010 3:27PM,,212.50,"-416,500.00"
5,05 JUN 24,"DEBIT INTEREST AFTER OFFSET SAVING OF $1,807.58",396.64,,"-418,307.58"
5,24 JUN 24,CREDIT TRANSFER FROM ALEX JAMES SAMPLE,,"2,787.50","-415,520.08"
5,28 JUN 24,IB TRANSFER 855182799 FROM 999-821-5000010 5:13AM,,20.08,"-415,500.00"
5,28 JUN 24,CARRIED FORWARD,,,"-415,500.00"
5,28 JUN 24,BROUGHT FORWARD,,,"-415,500.00"
5,05 JUL 24,"DEBIT INTEREST AFTER OFFSET SAVING OF $1,786.47",412.80,,"-417,286.47"
5,23 JUL 24,CREDIT TRANSFER FROM ALEX JAMES SAMPLE,,"2,787.50","-414,498.97"
5,05 AUG 24,"DEBIT INTEREST AFTER OFFSET SAVING OF $1,832.01",434.23,,"-416,330.98"
5,05 AUG 24,COMPLETE PACKAGE FEE,395.00,,"-416,725.98"
5,23 AUG 24,CREDIT TRANSFER FROM ALEX JAMES SAMPLE,,"2,787.50","-413,938.48"
5,05 SEP 24,"DEBIT INTEREST AFTER OFFSET SAVING OF $1,823.70",439.50,,"-415,762.18"
5,23 SEP 24,CREDIT TRANSFER FROM ALEX JAMES SAMPLE,,"2,787.50","-412,974.68"
5,23 SEP 24,IB TRANSFER 876420275 FROM 999-821-5000010 0:40AM,,212.50,"-412,762.18"
5,23 SEP 24,CLOSING BALANCE,,,"-412,762.18"
6,24 SEP 24,OPENING BALANCE,,,"-412,762.18"
6,07 OCT 24,"DEBIT INTEREST AFTER OFFSET SAVING OF $1,879.03",450.94,,"-414,641.21"
6,22 OCT 24,IB TRANSFER 883685353 FROM 999-821-5000010 2:46PM,,212.50,"-414,428.71"
6,23 OCT 24,CREDIT TRANSFER FROM ALEX JAMES SAMPLE,,"2,787.50","-411,641.21"
6,05 NOV 24,"DEBIT INTEREST AFTER OFFSET SAVING OF $1,672.94",432.68,,"-413,314.15"
6,25 NOV 24,CREDIT TRANSFER FROM ALEX JAMES SAMPLE,,"2,787.50","-410,526.65"
6,25 NOV 24,IB TRANSFER 891802566 FROM 999-821-5000010 3:53PM 23NOV,,212.50,"-410,314.15"
6,05 DEC 24,"DEBIT INTEREST AFTER OFFSET SAVING OF $1,710.73",462.37,,"-412,024.88"
6,23 DEC 24,CREDIT TRANSFER FROM ALEX JAMES SAMPLE,,"2,787.50","-409,237.38"
6,23 DEC 24,IB TRANSFER 899114039 FROM 999-821-5000010 5:06PM 22DEC,,212.50,"-409,024.88"
6,06 JAN 25,"DEBIT INTEREST AFTER OFFSET SAVING OF $1,825.40",484.54,,"-410,850.28"
6,23 JAN 25,CREDIT TRANSFER FROM ALEX JAMES SAMPLE,,"2,787.50","-408,062.78"
6,24 JAN 25,IB TRANSFER 906691592 FROM 999-821-5000010 1:49PM,,212.50,"-407,850.28"
6,24 JAN 25,CARRIED FORWARD,,,"-407,850.28"
6,24 JAN 25,BROUGHT FORWARD,,,"-407,850.28"
6,05 FEB 25,"DEBIT INTEREST AFTER OFFSET SAVING OF $1,734.63",429.85,,"-409,584.91"
6,24 FEB 25,CREDIT TRANSFER FROM ALEX JAMES SAMPLE,,"2,787.50","-406,797.41"
6,24 FEB 25,IB TRANSFER 913566021 FROM 999-821-5000010 1:05AM 22FEB,,212.50,"-406,584.91"
6,05 MAR 25,"DEBIT INTEREST AFTER OFFSET SAVING OF $1,603.33",398.31,,"-408,188.24"
6,19 MAR 25,IB TRANSFER 919679397 FROM 999-821-5000010 4:20PM,,188.24,"-408,000.00"
6,20 MAR 25,IB TRANSFER 919979458 FROM 999-821-5000010 3:54PM,,280.96,"-407,719.04"
6,21 MAR 25,CLOSING BALANCE,,,"-407,719.04"
7,22 MAR 25,OPENING BALANCE,,,"-407,719.04"
7,24 MAR 25,CREDIT TRANSFER FROM ALEX JAMES SAMPLE,,"2,719.04","-405,000.00"
7,01 APR 25,IB TRANSFER 922570918 FROM 999-821-5000070 2:18AM,,"1,058.57","-403,941.43"
7,07 APR 25,"DEBIT INTEREST AFTER OFFSET SAVING OF $1,779.49",492.24,,"-405,720.92"
7,17 APR 25,IB TRANSFER 926604996 FROM 999-821-5000010 1:35PM,,280.96,"-405,439.96"
7,23 APR 25,CREDIT TRANSFER FROM ALEX JAMES SAMPLE,,"2,719.04","-402,720.92"
7,05 MAY 25,"DEBIT INTEREST AFTER OFFSET SAVING OF $1,482.87",434.20,,"-404,203.79"
7,05 MAY 25,IB TRANSFER 930222367 FROM 999-821-5000070 2:57PM 3MAY,,341.67,"-403,862.12"
7,08 MAY 25,IB TRANSFER 931152658 FROM 999-821-5000010 10:01PM 7MAY,,100.00,"-403,762.12"
7,21 MAY 25,IB TRANSFER 934409887 FROM 999-821-5000010 4:47PM,,280.96,"-403,481.16"
7,23 MAY 25,CREDIT TRANSFER FROM ALEX JAMES SAMPLE,,"2,719.04","-400,762.12"
7,05 JUN 25,"DEBIT INTEREST AFTER OFFSET SAVING OF $1,627.41",468.72,,"-402,389.53"
7,20 JUN 25,IB TRANSFER 941548853 FROM 999-821-5000010 10:50AM,,348.93,"-402,040.60"
7,20 JUN 25,CARRIED FORWARD,,,"-402,040.60"
7,20 JUN 25,BROUGHT FORWARD,,,"-402,040.60"
7,23 JUN 25,CREDIT TRANSFER FROM ALEX JAMES SAMPLE,,"2,651.07","-399,389.53"
7,04 JUL 25,IB TRANSFER 944944136 FROM 999-821-5000070 3:30PM,,289.59,"-399,099.94"
7,07 JUL 25,"DEBIT INTEREST AFTER OFFSET SAVING OF $1,591.03",493.82,,"-400,690.97"
7,23 JUL 25,CREDIT TRANSFER FROM ALEX JAMES SAMPLE,,"2,651.07","-398,039.90"
7,25 JUL 25,IB TRANSFER 949868483 FROM 999-821-5000010 1:14PM,,71.45,"-397,968.45"
7,28 JUL 25,IB TRANSFER 950443659 FROM 999-821-5000010 1:46PM,,268.45,"-397,700.00"
7,05 AUG 25,"DEBIT INTEREST AFTER OFFSET SAVING OF $1,417.07",464.71,,"-399,117.07"
7,05 AUG 25,COMPLETE PACKAGE FEE,395.00,,"-399,512.07"
7,25 AUG 25,CREDIT TRANSFER FROM ALEX JAMES SAMPLE,,"2,585.67","-396,926.40"
7,25 AUG 25,IB TRANSFER 956941991 FROM 999-821-5000010 1:16PM 24AUG,,414.33,"-396,512.07"
7,05 SEP 25,"DEBIT INTEREST AFTER OFFSET SAVING OF $1,494.18",474.49,,"-398,006.25"
7,11 SEP 25,IB TRANSFER 961379134 FROM 999-821-5000070 3:46PM,,100.00,"-397,906.25"
7,19 SEP 25,IB TRANSFER 963327391 FROM 999-821-5000010 1:42PM,,414.33,"-397,491.92"
7,23 SEP 25,CREDIT TRANSFER FROM ALEX JAMES SAMPLE,,"2,585.67","-394,906.25"
7,23 SEP 25,CLOSING BALANCE,,,"-394,906.25"
8,24 SEP 25,OPENING BALANCE,,,"-394,906.25"
8,01 OCT 25,IB TRANSFER 965938929 FROM 999-821-5000070 1:57AM,,500.00,"-394,406.25"
8,06 OCT 25,"DEBIT INTEREST AFTER OFFSET SAVING OF $1,447.17",465.74,,"-395,853.42"
8,20 OCT 25,IB TRANSFER 970636944 TO 999-821-5000010 2:04PM,414.33,,"-396,267.75"
8,20 OCT 25,IB TRANSFER 970637021 FROM 999-821-5000010 2:04PM,,414.33,"-395,853.42"
8,20 OCT 25,IB TRANSFER 970637083 FROM 999-821-5000010 2:04PM,,414.33,"-395,439.09"
8,23 OCT 25,CREDIT TRANSFER FROM ALEX JAMES SAMPLE,,"2,585.67","-392,853.42"
8,05 NOV 25,"DEBIT INTEREST AFTER OFFSET SAVING OF $1,388.60",453.17,,"-394,242.02"
8,19 NOV 25,IB TRANSFER 977954118 FROM 999-821-5000010 3:32PM,,414.33,"-393,827.69"
8,21 NOV 25,IB TRANSFER 978548302 FROM 999-821-5000070 11:23AM,,300.00,"-393,527.69"
8,24 NOV 25,CREDIT TRANSFER FROM ALEX JAMES SAMPLE,,"2,585.67","-390,942.02"
8,03 DEC 25,IB TRANSFER 981469521 FROM 999-821-5000070 3:04PM,,"1,000.00","-389,942.02"
8,05 DEC 25,"DEBIT INTEREST AFTER OFFSET SAVING OF $1,382.06",452.03,,"-391,324.08"
8,05 DEC 25,CARRIED FORWARD,,,"-391,324.08"
8,05 DEC 25,BROUGHT FORWARD,,,"-391,324.08"
8,23 DEC 25,CREDIT TRANSFER FROM ALEX JAMES SAMPLE,,"2,585.67","-388,738.41"
8,23 DEC 25,IB TRANSFER 986407345 FROM 999-821-5000070 12:44PM,,414.33,"-388,324.08"
8,24 DEC 25,IB TRANSFER 986688788 FROM 999-821-5000070 11:50AM,,7.27,"-388,316.81"
8,05 JAN 26,"DEBIT INTEREST AFTER OFFSET SAVING OF $1,408.31",473.40,,"-389,725.12"
8,06 JAN 26,IB TRANSFER 989418228 FROM 999-821-5000070 2:05PM,,225.12,"-389,500.00"
8,23 JAN 26,CREDIT TRANSFER FROM ALEX JAMES SAMPLE,,"2,585.67","-386,914.33"
8,27 JAN 26,IB TRANSFER 993617865 FROM 999-821-5000010 1:46AM 24JAN,,414.33,"-386,500.00"
8,30 JAN 26,IB TRANSFER 995215709 FROM 999-821-5000070 7:49PM,,500.00,"-386,000.00"
8,05 FEB 26,"DEBIT INTEREST AFTER OFFSET SAVING OF $1,400.21",472.53,,"-387,400.21"
8,23 FEB 26,CREDIT TRANSFER FROM ALEX JAMES SAMPLE,,"2,585.67","-384,814.54"
8,05 MAR 26,"DEBIT INTEREST AFTER OFFSET SAVING OF $1,312.58",424.29,,"-386,127.12"
8,19 MAR 26,IB TRANSFER 1006703100 FROM 999-821-5000010 1:27PM,,127.12,"-386,000.00"
8,20 MAR 26,IB TRANSFER 1007039300 FROM 999-821-5000010 4:19PM,,"2,500.00","-383,500.00"
8,23 MAR 26,CREDIT TRANSFER FROM ALEX JAMES SAMPLE,,"2,585.67","-380,914.33"
8,23 MAR 26,CLOSING BALANCE,,,"-380,914.33"
